en,dk
en,qa
es,ec
tr,tr
en,cz
en,pl
en,si
fr,ca
en,ro
fi,fi
nl,nl
he,il
en,om
en,ie
de,at
en,lb
en,au
it,it
fr,ch
en,bh
ar,qa
en,tw
fr,lu
es,py
en,sa
en,za
en,bg
es,gt
sv,se
da,dk
en,vn
sk,sk
en,il
nl,be
de,ch
ar,ae
en,fi
ar,om
ru,ru
pl,pl
en,ae
es,cl
th,th
en,us
hu,hu
ko,kr
ch,hk
pt,pt
sl,si
es,cr
en,is
es,uy
sr,rs
es,hn
de,lu
en,cy
en,hr
en,nz
it,ch
en,mt
de,de
es,co
es,es
en,hu
ar,lb
en,sg
ar,bh
fr,fr
fr,be
es,pe
en,hk
es,bo
ro,ro
no,no
bg,bg
es,ni
en,in
uk,ua
es,pa
en,gb
ar,sa
en,gr
en,my
pt,br
es,ar
en,no
ar,kw
cs,cz
en,kw
en,tr
es,mx
en,sk
en,ca
en,th
ja,jp
hr,hr
en,ph
el,gr
ch,hk
ru,ua
en,se
es,sv
en,id
zh,hans-cn
zh,hant-hk
zh,hans-hk
zh,hant-tw
