"title_id","content_id","store_classification_2","store_classification_3","serialstation_classification","name"
"UCUS-98744","UP9000-UCUS98744_00-LBPPSPAFULL00001","GAME","NA","Game","LittleBigPlanet PSP"
"UCUS-98744","UP9000-UCUS98744_00-LBPPDLCSONYCK010","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet PSP Canyons Costumes"
"UCUS-98744","UP9000-UCUS98744_00-LBPPDLCSONYTM004","ADD-ON","COMBO","DLC","LittleBigPlanet PSP Canyons Theme Pack"
"UCUS-98744","UP9000-UCUS98744_00-LBPPDLCSONYPA002","PATCH","NA","Game","LittleBigPlanet PSP Content Update v2.05"
"UCUS-98744","UP9000-UCUS98744_00-LBPPDLCSONYCK002","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet PSP Costumes of Killzone"
"UCUS-98744","UP9000-UCUS98744_00-LBPPDLCSONYCK004","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet PSP Costumes of MotorStorm"
"UCUS-98744","UP9000-UCUS98744_00-LBPPDLCSONYCK003","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet PSP Costumes of UNCHARTED"
"UCUS-98744","UP9000-UCUS98744_00-LBPPDLCSONYCK020","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet PSP Easter Costume"
"UCUS-98744","UP9000-UCUS98744_00-LBPPDLCSONYLP007","ADD-ON","COMBO","DLC","LittleBigPlanet PSP Easter Theme Pack"
"UCUS-98744","UP9000-UCUS98744_00-LBPPDLCSONYLK002","ADD-ON","COMBO","DLC","LittleBigPlanet PSP Fantasy Kit"
"UCUS-98744","UP9000-UCUS98744_00-LBPPDLCSONYCK024","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet PSP Friar Tuck Costume"
"UCUS-98744","UP9000-UCUS98744_00-LBPPDLCSONYCK023","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet PSP Fruit Salad Costume"
"UCUS-98744","UP9000-UCUS98744_00-LBPPDLCSONYLP010","ADD-ON","COMBO","DLC","LittleBigPlanet PSP Fruit Salad Pack"
"UCUS-98744","UP9000-UCUS98744_00-LBPPDLCSONYCK007","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet PSP Gardens Costume"
"UCUS-98744","UP9000-UCUS98744_00-LBPPDLCSONYTM001","ADD-ON","COMBO","DLC","LittleBigPlanet PSP Gardens Level Pack"
"UCUS-98744","UP9000-UCUS98744_00-LBPPDLCSONYCK022","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet PSP Heroes in Uniform Costume"
"UCUS-98744","UP9000-UCUS98744_00-LBPPDLCSONYLP009","ADD-ON","COMBO","DLC","LittleBigPlanet PSP Heroes in Uniform Pack"
"UCUS-98744","UP9000-UCUS98744_00-LBPPDLCSONYCK012","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet PSP Islands Costumes"
"UCUS-98744","UP9000-UCUS98744_00-LBPPDLCSONYTM006","ADD-ON","COMBO","DLC","LittleBigPlanet PSP Islands Theme Pack"
"UCUS-98744","UP9000-UCUS98744_00-LBPPDLCSONYCK017","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet PSP Jungle Sackfari Explorers Costume"
"UCUS-98744","UP9000-UCUS98744_00-LBPPDLCSONYLP004","ADD-ON","COMBO","DLC","LittleBigPlanet PSP Jungle Sackfari Explorers Pack"
